id;ma_don_vi_hanh_chinh;ten_don_vi_hanh_chinh;ghi_chu;status
1;Clothing programming;Fantastic;Officer cutting-edge secured line;91820
2;Handmade copy;Turnpike quantifying Harbor;Networked transmitting;87982
3;Chile Realigned;bypassing;program;42011
4;National;Extension calculate withdrawal;Louisiana bus;80619
5;parsing Proactive;Soft;Incredible open architecture Movies;68166
6;Pizza;Vision-oriented bypassing;Generic;34038
7;XML orange sticky;Shoes;systems;75924
8;Human Right-sized neural;invoice;invoice;87422
9;Toys Computer deploy;Flats AI;Cotton web services;80235
10;Landing;Practical Soft Chair;Specialist Fresh card;97277
