id;ma_benh_vien;ten_benh_vien;ghi_chu;status
1;synthesizing Trinidad and Tobago Dollar backing up;Communications hard drive migration;Falkland Islands (Malvinas) invoice Courts;21844
2;Granite Ergonomic Concrete Bike Small Rubber Shoes;secured line;Incredible Focused;73024
3;Checking Account Unbranded Fresh Pizza SMTP;Money Market Account;Officer Checking Account Dominica;83815
4;4th generation interfaces zero tolerance;COM Norfolk Island Gorgeous Fresh Bike;Avon bandwidth;52523
5;Baby IB Refined Frozen Towels;Buckinghamshire;Incredible District;46443
6;Rubber customized Table;Personal Loan Account;Pike wireless;63960
7;Malagasy Ariary;Intelligent;online Technician;26267
8;methodical Shoal Analyst;withdrawal;Future;292
9;Sleek Rubber Car Corporate;holistic;Highway Manors Savings Account;46974
10;Gateway Falls;Borders Sports;Intelligent Fresh Chair;84392
