id;start_date;end_date;language
1;2019-08-03T22:28:37;2019-08-03T15:36:55;SPANISH
2;2019-08-03T23:58:43;2019-08-03T09:04:53;ENGLISH
3;2019-08-03T19:30:47;2019-08-03T10:54:47;SPANISH
4;2019-08-03T08:42:39;2019-08-03T16:09:40;FRENCH
5;2019-08-03T17:41:18;2019-08-03T22:25:26;FRENCH
6;2019-08-03T23:58:18;2019-08-04T01:15:14;SPANISH
7;2019-08-03T09:20:38;2019-08-03T22:01:25;FRENCH
8;2019-08-03T06:51:57;2019-08-03T14:52:06;FRENCH
9;2019-08-03T16:40:03;2019-08-04T01:04:41;ENGLISH
10;2019-08-03T19:58:12;2019-08-03T17:14:27;FRENCH
