id;user_name;created_date;expiration_date;login_ip;active;he_thong;token_type;status
1;mobile Fish;2019-08-20;2019-08-20;Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;93855
2;Electronics;2019-08-20;2019-08-21;methodology Albania;Home Namibia;Steel zero administration;Multi-channelled Licensed;61838
3;syndicate;2019-08-20;2019-08-20;Refined Rubber Chicken Table;Automotive;Planner cross-platform access;Public-key;24102
4;Bahamian Dollar Investment Account;2019-08-20;2019-08-21;Regional;Tuna;hardware Costa Rica Mayotte;Industrial;84228
5;Views e-enable Communications;2019-08-20;2019-08-20;Awesome;Aruba;software scale interactive;Louisiana Specialist Home Loan Account;27599
6;scalable;2019-08-21;2019-08-21;Administrator;reinvent 24 hour Jewelery;monitor;1080p Checking Account Identity;65107
7;Internal;2019-08-20;2019-08-20;archive Fantastic Plastic Chicken;payment;withdrawal COM;embrace Developer;84891
8;hard drive Robust Networked;2019-08-21;2019-08-20;partnerships Grocery Intelligent;Dynamic;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;20306
9;Brand;2019-08-20;2019-08-21;Salad Web virtual;Refined Squares;maroon;EXE projection Fresh;35629
10;Direct;2019-08-21;2019-08-21;synergies copying;ability Hat Iraq;magenta Concrete;User-centric Gloves;21876
