id;ma_dan_toc;ten_dan_toc;ghi_chu;status
1;Multi-channelled;Berkshire Keyboard Branding;olive Practical AI;46016
2;generate actuating;Avon cross-platform Wall;neural;49725
3;end-to-end;Towels pricing structure input;Electronics Fresh;65962
4;Pizza Enterprise-wide Division;Producer quantify;Bahamas;9415
5;ubiquitous interactive;Buckinghamshire Fantastic;Stravenue seize;9340
6;web services teal sky blue;executive;quantify motivating project;64267
7;azure Global;Table Kwacha;Gloves Auto Loan Account customized;89718
8;Chips;Rubber green;customized;73263
9;hacking help-desk;Personal Loan Account Refined RAM;firewall toolset Administrator;48535
10;Metal alarm challenge;JBOD systems Keyboard;Kwacha;9303
