id;id_benh_vien;ten_benh_vien;uuid_acccount;uuid_gcsdb;id_user_create;code_soft;public_key;address_key;created_date;modified_date;status
1;Points Polarised Senior;Cambridgeshire Computer;Analyst bandwidth Small Steel Computer;alarm Licensed Steel Computer Books;Buckinghamshire facilitate Green;holistic reboot invoice;e-business;Awesome invoice;Gorgeous Cotton Chair Ergonomic Cambridgeshire;regional compress Personal Loan Account;38193
2;red Concrete Money Market Account;Generic Frozen Hat Camp Principal;back-end;Wall;Investment Account;Legacy Slovenia;deposit Steel;Unbranded Savings Account;seize;Japan maximize;16368
3;content-based Research Czech Koruna;TCP invoice;New Taiwan Dollar;SCSI;Universal Egypt invoice;Wall;input Rhode Island Tuna;Gloves;parse user-facing;Handmade Wooden Computer Metal;72597
4;parsing;Borders;copying;relationships quantify generate;array Delaware;Refined New York PNG;Keyboard Overpass;open-source;circuit Engineer Intelligent;SAS deposit;31092
5;input generating;magenta dynamic;Martinique Albania synthesizing;Sports back up ivory;navigate Croatian Kuna hack;implementation XML Liaison;deploy payment;SSL Savings Account reintermediate;Clothing Chair;Savings Account;35549
6;cross-platform;engage;Mission payment Ergonomic Rubber Bike;Kwacha Generic Granite Chicken;multi-byte 3rd generation;initiative deposit Car;out-of-the-box mobile program;connecting Japan enable;policy;Cloned architect;6254
7;1080p parse;Paradigm deposit systems;Buckinghamshire Computer;methodologies calculating scale;Intranet mint green;holistic strategic;Netherlands Antillian Guilder;generating neutral;Paradigm solid state;systematic;42965
8;PCI;Estates Squares vortals;Buckinghamshire Rubber Small;Central District 1080p;bypass;Polarised;Cotton;Dynamic Ville Movies;Small Plastic Chair;content-based;27561
9;open-source Engineer unleash;Summit compress;Shoes;Movies Generic Fresh Towels Plastic;groupware navigate;Future;alarm;Liaison Vermont;streamline navigating open-source;sensor Strategist;25653
10;payment;salmon;Groves Representative;Director Computer;Fish;ROI;quantifying;Macedonia Executive;AI;Bahrain wireless Mali;61290
